HSI INDEX,
9/22/2017,27880.53
9/25/2017,27500.34
9/26/2017,27513.01
9/27/2017,27642.43
9/28/2017,27421.6
9/29/2017,27554.3
10/3/2017,28173.21
10/4/2017,28379.18
10/6/2017,28458.04
10/9/2017,28326.59
10/10/2017,28490.83
10/11/2017,28389.57
10/12/2017,28459.03
10/13/2017,28476.43
10/16/2017,28692.8
10/17/2017,28697.49
10/18/2017,28711.76
10/19/2017,28159.09
10/20/2017,28487.24
10/23/2017,28305.88
10/24/2017,28154.97
10/25/2017,28302.89
10/26/2017,28202.38
10/27/2017,28438.85
10/30/2017,28336.19
10/31/2017,28245.54
11/1/2017,28594.06
11/2/2017,28518.64
11/3/2017,28603.61
11/6/2017,28596.8
11/7/2017,28994.34
11/8/2017,28907.6
11/9/2017,29136.57
11/10/2017,29120.92
11/13/2017,29182.18
11/14/2017,29152.12
11/15/2017,28851.69
11/16/2017,29018.76
11/17/2017,29199.04
11/20/2017,29260.31
11/21/2017,29818.07
11/22/2017,30003.49
11/23/2017,29707.94
11/24/2017,29866.32
11/27/2017,29686.19
11/28/2017,29680.85
11/29/2017,29623.83
11/30/2017,29177.35
12/1/2017,29074.24
12/4/2017,29138.28
12/5/2017,28842.8
12/6/2017,28224.8
12/7/2017,28303.19
12/8/2017,28639.85
12/11/2017,28965.29
12/12/2017,28793.88
12/13/2017,29222.1
12/14/2017,29166.38
12/15/2017,28848.11
12/18/2017,29050.41
12/19/2017,29253.66
12/20/2017,29234.09
12/21/2017,29367.06
12/22/2017,29578.01
12/27/2017,29597.66
12/28/2017,29863.71
12/29/2017,29919.15
1/2/2018,30515.31
1/3/2018,30560.95
1/4/2018,30736.48
1/5/2018,30814.64
1/8/2018,30899.53
1/9/2018,31011.41
1/10/2018,31073.72
1/11/2018,31120.39
1/12/2018,31412.54
1/15/2018,31338.87
1/16/2018,31904.75
1/17/2018,31983.41
1/18/2018,32121.94
1/19/2018,32254.89
1/22/2018,32393.41
1/23/2018,32930.7
1/24/2018,32958.69
1/25/2018,32654.45
1/26/2018,33154.12
1/29/2018,32966.89
1/30/2018,32607.29
1/31/2018,32887.27
2/1/2018,32642.09
2/2/2018,32601.78
2/5/2018,32245.22
2/6/2018,30595.42
2/7/2018,30323.2
2/8/2018,30451.27
2/9/2018,29507.42
2/12/2018,29459.63
2/13/2018,29839.53
2/14/2018,30515.6
2/15/2018,31115.43
2/20/2018,30873.63
2/21/2018,31431.89
2/22/2018,30965.68
2/23/2018,31267.17
2/26/2018,31498.6
2/27/2018,31268.66
2/28/2018,30844.72
3/1/2018,31044.25
3/2/2018,30583.45
3/5/2018,29886.39
3/6/2018,30510.73
3/7/2018,30196.92
3/8/2018,30654.52
3/9/2018,30996.21
3/12/2018,31594.33
3/13/2018,31601.45
3/14/2018,31435.01
3/15/2018,31541.1
3/16/2018,31501.97
3/19/2018,31513.76
3/20/2018,31549.93
3/21/2018,31414.52
3/22/2018,31071.05
3/23/2018,30309.29
3/26/2018,30548.77
3/27/2018,30790.83
3/28/2018,30022.53
3/29/2018,30093.38
4/3/2018,30180.1
4/4/2018,29518.69
4/6/2018,29844.94
4/9/2018,30229.58
4/10/2018,30728.74
4/11/2018,30897.71
4/12/2018,30831.28
4/13/2018,30808.38
4/16/2018,30315.59
4/17/2018,30062.75
4/18/2018,30284.25
4/19/2018,30708.44
4/20/2018,30418.33
4/23/2018,30254.4
4/24/2018,30636.24
4/25/2018,30328.15
4/26/2018,30007.68
4/27/2018,30280.67
4/30/2018,30808.45
5/2/2018,30723.88
5/3/2018,30313.37
5/4/2018,29926.5
5/7/2018,29994.26
5/8/2018,30402.81
5/9/2018,30536.14
5/10/2018,30809.22
5/11/2018,31122.06
5/14/2018,31541.08
5/15/2018,31152.03
5/16/2018,31110.2
5/17/2018,30942.15
5/18/2018,31047.91
5/21/2018,31234.35
5/23/2018,30665.64
5/24/2018,30760.41
5/25/2018,30588.04
5/28/2018,30792.26
5/29/2018,30484.58
5/30/2018,30056.79
5/31/2018,30468.56
6/1/2018,30492.91
6/4/2018,30997.98
6/5/2018,31093.45
6/6/2018,31259.1
6/7/2018,31512.63
6/8/2018,30958.21
6/11/2018,31063.7
6/12/2018,31103.06
6/13/2018,30725.15
6/14/2018,30440.17
6/15/2018,30309.49
6/19/2018,29468.15
6/20/2018,29696.17
6/21/2018,29296.05
6/22/2018,29338.7
6/25/2018,28961.39
6/26/2018,28881.4
6/27/2018,28356.26
6/28/2018,28497.32
6/29/2018,28955.11
7/3/2018,28545.57
7/4/2018,28241.67
7/5/2018,28182.09
7/6/2018,28315.62
7/9/2018,28688.5
7/10/2018,28682.25
7/11/2018,28311.69
7/12/2018,28480.83
7/13/2018,28525.44
7/16/2018,28539.66
7/17/2018,28181.68
7/18/2018,28117.42
7/19/2018,28010.86
7/20/2018,28224.48
7/23/2018,28256.12
7/24/2018,28662.57
7/25/2018,28920.9
7/26/2018,28781.14
7/27/2018,28804.28
7/30/2018,28733.13
7/31/2018,28583.01
8/1/2018,28340.74
8/2/2018,27714.56
8/3/2018,27676.32
8/6/2018,27819.56
8/7/2018,28248.88
8/8/2018,28359.14
8/9/2018,28607.3
8/10/2018,28366.62
8/13/2018,27936.57
8/14/2018,27752.93
8/15/2018,27323.59
8/16/2018,27100.06
8/17/2018,27213.41
8/20/2018,27598.02
8/21/2018,27752.79
8/22/2018,27927.58
8/23/2018,27790.46
8/24/2018,27671.87
8/27/2018,28271.27
8/28/2018,28351.62
8/29/2018,28416.44
8/30/2018,28164.05
8/31/2018,27888.55
9/3/2018,27712.54
9/4/2018,27973.34
9/5/2018,27243.85
9/6/2018,26974.82
9/7/2018,26973.47
9/10/2018,26613.42
9/11/2018,26422.55
9/12/2018,26345.04
9/13/2018,27014.49
9/14/2018,27286.41
9/17/2018,26932.85
9/18/2018,27084.66
9/19/2018,27407.37
9/20/2018,27477.67
9/21/2018,27953.58
9/24/2018,27499.39
9/26/2018,27816.87
9/27/2018,27715.67
9/28/2018,27788.52
10/2/2018,27126.38
10/3/2018,27091.26
10/4/2018,26623.87
10/5/2018,26572.57
10/8/2018,26202.57
10/9/2018,26172.91
10/10/2018,26193.07
10/11/2018,25266.37
10/12/2018,25801.49
10/15/2018,25445.06
10/16/2018,25462.26
10/18/2018,25454.55
10/19/2018,25561.4
10/22/2018,26153.15
10/23/2018,25346.55
10/24/2018,25249.78
10/25/2018,24994.46
10/26/2018,24717.63
10/29/2018,24812.04
10/30/2018,24585.53
10/31/2018,24979.69
11/1/2018,25416
11/2/2018,26486.35
11/5/2018,25934.39
11/6/2018,26120.96
11/7/2018,26147.69
11/8/2018,26227.72
11/9/2018,25601.92
11/12/2018,25633.18
11/13/2018,25792.87
11/14/2018,25654.43
11/15/2018,26103.34
11/16/2018,26183.53
11/19/2018,26372
11/20/2018,25840.34
11/21/2018,25971.47
11/22/2018,26019.41
11/23/2018,25927.68
11/26/2018,26376.18
11/27/2018,26331.96
11/28/2018,26682.56
11/29/2018,26451.03
11/30/2018,26506.75
12/3/2018,27182.04
12/4/2018,27260.44
12/5/2018,26819.68
12/6/2018,26156.38
12/7/2018,26063.76
12/10/2018,25752.38
12/11/2018,25771.67
12/12/2018,26186.71
12/13/2018,26524.35
12/14/2018,26094.79
12/17/2018,26087.98
12/18/2018,25814.25
12/19/2018,25865.39
12/20/2018,25623.53
12/21/2018,25753.42
12/24/2018,25651.38
12/27/2018,25478.88
12/28/2018,25504.2
12/31/2018,25845.7
1/2/2019,25130.35
1/3/2019,25064.36
1/4/2019,25626.03
1/7/2019,25835.7
1/8/2019,25875.45
1/9/2019,26462.32
1/10/2019,26521.43
1/11/2019,26667.27
1/14/2019,26298.33
1/15/2019,26830.29
1/16/2019,26902.1
1/17/2019,26755.63
1/18/2019,27090.81
1/21/2019,27196.54
1/22/2019,27005.45
1/23/2019,27008.2
1/24/2019,27120.98
1/25/2019,27569.19
1/28/2019,27576.96
1/29/2019,27531.68
1/30/2019,27642.85
1/31/2019,27942.47
2/1/2019,27930.74
2/4/2019,27990.21
2/8/2019,27946.32
2/11/2019,28143.84
2/12/2019,28171.33
2/13/2019,28497.59
2/14/2019,28432.05
2/15/2019,27900.84
2/18/2019,28347.01
2/19/2019,28228.13
2/20/2019,28514.05
2/21/2019,28629.92
2/22/2019,28816.3
2/25/2019,28959.3
2/26/2019,28772.06
2/27/2019,28757.44
2/28/2019,28633.18
3/1/2019,28812.17
3/4/2019,28959.59
3/5/2019,28961.6
3/6/2019,29037.6
3/7/2019,28779.45
3/8/2019,28228.42
3/11/2019,28503.3
3/12/2019,28920.87
3/13/2019,28807.45
3/14/2019,28851.39
3/15/2019,29012.26
3/18/2019,29409.01
3/19/2019,29466.28
3/20/2019,29320.97
3/21/2019,29071.56
3/22/2019,29113.36
3/25/2019,28523.35
3/26/2019,28566.91
3/27/2019,28728.25
3/28/2019,28775.21
3/29/2019,29051.36
4/1/2019,29562.02
4/2/2019,29624.67
4/3/2019,29986.39
4/4/2019,29936.32
4/8/2019,30077.15
4/9/2019,30157.49
4/10/2019,30119.56
4/11/2019,29839.45
4/12/2019,29909.76
4/15/2019,29810.72
4/16/2019,30129.87
4/17/2019,30124.68
4/18/2019,29963.26
4/23/2019,29963.24
4/24/2019,29805.83
4/25/2019,29549.8
4/26/2019,29605.01
4/29/2019,29892.81
4/30/2019,29699.11
5/2/2019,29944.18
5/3/2019,30081.55
5/6/2019,29209.82
5/7/2019,29363.02
5/8/2019,29003.2
5/9/2019,28311.07
5/10/2019,28550.24
5/14/2019,28122.02
5/15/2019,28268.71
5/16/2019,28275.07
5/17/2019,27946.46
5/20/2019,27787.61
5/21/2019,27657.24
5/22/2019,27705.94
5/23/2019,27267.13
5/24/2019,27353.93
5/27/2019,27288.09
5/28/2019,27390.81
5/29/2019,27235.71
5/30/2019,27114.88
5/31/2019,26901.09
6/3/2019,26893.86
6/4/2019,26761.52
6/5/2019,26895.44
6/6/2019,26965.28
6/10/2019,27578.64
6/11/2019,27789.34
6/12/2019,27308.46
6/13/2019,27294.71
6/14/2019,27118.35
6/17/2019,27227.16
6/18/2019,27498.77
6/19/2019,28202.14
6/20/2019,28550.43
6/21/2019,28473.71
6/24/2019,28513
6/25/2019,28185.98
6/26/2019,28221.98
6/27/2019,28621.42
6/28/2019,28542.62
7/2/2019,28875.56
7/3/2019,28855.14
7/4/2019,28795.77
7/5/2019,28774.83
7/8/2019,28331.69
7/9/2019,28116.28
7/10/2019,28204.69
7/11/2019,28431.8
7/12/2019,28471.62
7/15/2019,28554.88
7/16/2019,28619.62
7/17/2019,28593.17
7/18/2019,28461.66
7/19/2019,28765.4
7/22/2019,28371.26
7/23/2019,28466.48
7/24/2019,28524.04
7/25/2019,28594.3
7/26/2019,28397.74
7/29/2019,28106.41
7/30/2019,28146.5
7/31/2019,27777.75
8/1/2019,27565.7
8/2/2019,26918.58
8/5/2019,26151.32
8/6/2019,25976.24
8/7/2019,25997.03
8/8/2019,26120.77
8/9/2019,25939.3
8/12/2019,25824.72
8/13/2019,25281.3
8/14/2019,25302.28
8/15/2019,25495.46
8/16/2019,25734.22
8/19/2019,26291.84
8/20/2019,26231.54
8/21/2019,26270.04
8/22/2019,26048.72
8/23/2019,26179.33
8/26/2019,25680.33
8/27/2019,25664.07
8/28/2019,25615.48
8/29/2019,25703.5
8/30/2019,25724.73
9/2/2019,25626.55
9/3/2019,25527.85
9/4/2019,26523.23
9/5/2019,26515.53
9/6/2019,26690.76
9/9/2019,26681.4
9/10/2019,26683.68
9/11/2019,27159.06
9/12/2019,27087.63
