SX5E INDEX,
9/22/2017,3541.42
9/25/2017,3537.81
9/26/2017,3536.38
9/27/2017,3555.17
9/28/2017,3563.64
9/29/2017,3594.85
10/2/2017,3602.69
10/3/2017,3605.73
10/4/2017,3594.91
10/5/2017,3613.54
10/6/2017,3603.32
10/9/2017,3610.5
10/10/2017,3598.79
10/11/2017,3607.39
10/12/2017,3605.54
10/13/2017,3604.55
10/16/2017,3606.27
10/17/2017,3607.77
10/18/2017,3619.65
10/19/2017,3602.08
10/20/2017,3605.09
10/23/2017,3608.87
10/24/2017,3610.69
10/25/2017,3591.46
10/26/2017,3637.2
10/27/2017,3652.23
10/30/2017,3662.18
10/31/2017,3673.95
11/1/2017,3697.4
11/2/2017,3688.8
11/3/2017,3689.96
11/6/2017,3682.36
11/7/2017,3658.77
11/8/2017,3655.04
11/9/2017,3612.5
11/10/2017,3593.76
11/13/2017,3574.52
11/14/2017,3556.38
11/15/2017,3545.72
11/16/2017,3564.8
11/17/2017,3547.46
11/20/2017,3561.41
11/21/2017,3579.32
11/22/2017,3562.65
11/23/2017,3572.07
11/24/2017,3581.23
11/27/2017,3564.02
11/28/2017,3583.49
11/29/2017,3589.91
11/30/2017,3569.93
12/1/2017,3527.55
12/4/2017,3576.22
12/5/2017,3570.57
12/6/2017,3561.57
12/7/2017,3573.13
12/8/2017,3591.45
12/11/2017,3582.21
12/12/2017,3600.35
12/13/2017,3581.75
12/14/2017,3556.22
12/15/2017,3560.53
12/18/2017,3609.42
12/19/2017,3582.22
12/20/2017,3552.65
12/21/2017,3570.78
12/22/2017,3553.39
12/27/2017,3550.17
12/28/2017,3524.31
12/29/2017,3503.96
1/2/2018,3490.19
1/3/2018,3509.88
1/4/2018,3568.88
1/5/2018,3607.63
1/8/2018,3616.45
1/9/2018,3622.87
1/10/2018,3609.83
1/11/2018,3595.24
1/12/2018,3612.61
1/15/2018,3611.81
1/16/2018,3622.01
1/17/2018,3612.78
1/18/2018,3620.91
1/19/2018,3649.07
1/22/2018,3665.28
1/23/2018,3672.29
1/24/2018,3643.22
1/25/2018,3630.15
1/26/2018,3647.41
1/29/2018,3643.04
1/30/2018,3606.75
1/31/2018,3609.29
2/1/2018,3577.35
2/2/2018,3523.28
2/5/2018,3478.77
2/6/2018,3394.92
2/7/2018,3454.52
2/8/2018,3377.3
2/9/2018,3325.99
2/12/2018,3368.25
2/13/2018,3340.93
2/14/2018,3369.83
2/15/2018,3389.63
2/16/2018,3426.8
2/19/2018,3407.79
2/20/2018,3435.08
2/21/2018,3430.16
2/22/2018,3431.99
2/23/2018,3441.46
2/26/2018,3463.18
2/27/2018,3458.03
2/28/2018,3438.96
3/1/2018,3399.16
3/2/2018,3324.75
3/5/2018,3355.32
3/6/2018,3357.86
3/7/2018,3377.36
3/8/2018,3413.28
3/9/2018,3420.54
3/12/2018,3429.48
3/13/2018,3397.35
3/14/2018,3390.98
3/15/2018,3414.13
3/16/2018,3437.4
3/19/2018,3394.79
3/20/2018,3412.08
3/21/2018,3401.04
3/22/2018,3348.19
3/23/2018,3298.07
3/26/2018,3278.72
3/27/2018,3316.95
3/28/2018,3331.25
3/29/2018,3361.5
4/3/2018,3346.93
4/4/2018,3340.35
4/5/2018,3429.95
4/6/2018,3408.1
4/9/2018,3414.85
4/10/2018,3438.78
4/11/2018,3419.71
4/12/2018,3443.97
4/13/2018,3448
4/16/2018,3441.04
4/17/2018,3477.91
4/18/2018,3490.89
4/19/2018,3486.6
4/20/2018,3494.2
4/23/2018,3513.06
4/24/2018,3510.88
4/25/2018,3485.83
4/26/2018,3506.03
4/27/2018,3518.78
4/30/2018,3536.52
5/1/2018,3536.26
5/2/2018,3553.79
5/3/2018,3529.12
5/4/2018,3550.59
5/7/2018,3564.19
5/8/2018,3557.88
5/9/2018,3569.74
5/10/2018,3569.71
5/11/2018,3565.52
5/14/2018,3565.74
5/15/2018,3564.29
5/16/2018,3562.85
5/17/2018,3592.18
5/18/2018,3573.76
5/21/2018,3572.57
5/22/2018,3587.25
5/23/2018,3541.82
5/24/2018,3521.76
5/25/2018,3515.36
5/28/2018,3482.64
5/29/2018,3428.14
5/30/2018,3441.19
5/31/2018,3406.65
6/1/2018,3453.54
6/4/2018,3469.57
6/5/2018,3456.79
6/6/2018,3460.82
6/7/2018,3459.77
6/8/2018,3447.3
6/11/2018,3480.22
6/12/2018,3475.58
6/13/2018,3479.56
6/14/2018,3527.11
6/15/2018,3505.02
6/18/2018,3466.65
6/19/2018,3435.3
6/20/2018,3439.6
6/21/2018,3403.51
6/22/2018,3441.6
6/25/2018,3369.21
6/26/2018,3368.72
6/27/2018,3397.13
6/28/2018,3365.52
6/29/2018,3395.6
7/2/2018,3372.21
7/3/2018,3406.34
7/4/2018,3412.03
7/5/2018,3440.92
7/6/2018,3448.49
7/9/2018,3460.44
7/10/2018,3473.31
7/11/2018,3422.35
7/12/2018,3445.49
7/13/2018,3454.54
7/16/2018,3449.08
7/17/2018,3457.5
7/18/2018,3485.08
7/19/2018,3471.64
7/20/2018,3460.03
7/23/2018,3454.05
7/24/2018,3483.31
7/25/2018,3468.45
7/26/2018,3509.26
7/27/2018,3527.18
7/30/2018,3512.31
7/31/2018,3525.49
8/1/2018,3509.23
8/2/2018,3469.21
8/3/2018,3482.4
8/6/2018,3483.3
8/7/2018,3504.37
8/8/2018,3493.6
8/9/2018,3494.13
8/10/2018,3426.28
8/13/2018,3409.68
8/14/2018,3409.44
8/15/2018,3359.08
8/16/2018,3377.56
8/17/2018,3372.94
8/20/2018,3393.67
8/21/2018,3411.66
8/22/2018,3420.18
8/23/2018,3419.26
8/24/2018,3427.44
8/27/2018,3456.01
8/28/2018,3447.57
8/29/2018,3456.13
8/30/2018,3430.99
8/31/2018,3392.9
9/3/2018,3394.99
9/4/2018,3359.36
9/5/2018,3315.62
9/6/2018,3295.95
9/7/2018,3293.36
9/10/2018,3309.28
9/11/2018,3311.66
9/12/2018,3326.6
9/13/2018,3333.68
9/14/2018,3344.63
9/17/2018,3346.11
9/18/2018,3358.46
9/19/2018,3368.56
9/20/2018,3403.12
9/21/2018,3430.81
9/24/2018,3410.44
9/25/2018,3419.78
9/26/2018,3433.15
9/27/2018,3449.79
9/28/2018,3399.2
10/1/2018,3414.16
10/2/2018,3388.99
10/3/2018,3405.48
10/4/2018,3375.08
10/5/2018,3345.51
10/8/2018,3309.72
10/9/2018,3321.79
10/10/2018,3266.9
10/11/2018,3209.19
10/12/2018,3194.41
10/15/2018,3210.37
10/16/2018,3257.34
10/17/2018,3243.08
10/18/2018,3211.59
10/19/2018,3210.82
10/22/2018,3190.09
10/23/2018,3140.94
10/24/2018,3130.33
10/25/2018,3164.4
10/26/2018,3134.89
10/29/2018,3154.93
10/30/2018,3147.13
10/31/2018,3197.51
11/1/2018,3204.21
11/2/2018,3214.41
11/5/2018,3217.37
11/6/2018,3207.42
11/7/2018,3246.16
11/8/2018,3237.6
11/9/2018,3229.49
11/12/2018,3194.08
11/13/2018,3224.82
11/14/2018,3205.36
11/15/2018,3190.31
11/16/2018,3180.74
11/19/2018,3160.33
11/20/2018,3116.07
11/21/2018,3153.91
11/22/2018,3126.67
11/23/2018,3137.21
11/26/2018,3172.71
11/27/2018,3166.42
11/28/2018,3168.29
11/29/2018,3174.16
11/30/2018,3173.13
12/3/2018,3214.99
12/4/2018,3189.25
12/5/2018,3150.27
12/6/2018,3045.94
12/7/2018,3058.53
12/10/2018,3016.99
12/11/2018,3055.32
12/12/2018,3107.97
12/13/2018,3112.17
12/14/2018,3092.6
12/17/2018,3063.65
12/18/2018,3040.13
12/19/2018,3051.38
12/20/2018,3000.06
12/21/2018,3000.61
12/24/2018,2973.78
12/27/2018,2937.36
12/28/2018,2986.53
12/31/2018,3001.42
1/2/2019,2993.18
1/3/2019,2954.66
1/4/2019,3041.85
1/7/2019,3033.64
1/8/2019,3054.94
1/9/2019,3070.24
1/10/2019,3075.73
1/11/2019,3070.04
1/14/2019,3055.18
1/15/2019,3068.05
1/16/2019,3077.22
1/17/2019,3069.35
1/18/2019,3134.92
1/21/2019,3125.07
1/22/2019,3112.8
1/23/2019,3112.13
1/24/2019,3126.31
1/25/2019,3163.24
1/28/2019,3137.27
1/29/2019,3153.42
1/30/2019,3161.74
1/31/2019,3159.43
2/1/2019,3171.12
2/4/2019,3165.2
2/5/2019,3215.04
2/6/2019,3212.75
2/7/2019,3150.76
2/8/2019,3135.62
2/11/2019,3165.61
2/12/2019,3190.75
2/13/2019,3202.37
2/14/2019,3182.66
2/15/2019,3241.25
2/18/2019,3244.79
2/19/2019,3239.41
2/20/2019,3259.49
2/21/2019,3263.7
2/22/2019,3270.55
2/25/2019,3280.01
2/26/2019,3289.32
2/27/2019,3282.77
2/28/2019,3298.26
3/1/2019,3312.1
3/4/2019,3317.12
3/5/2019,3327.19
3/6/2019,3324.67
3/7/2019,3308.85
3/8/2019,3283.6
3/11/2019,3304.44
3/12/2019,3303.95
3/13/2019,3323.45
3/14/2019,3342.03
3/15/2019,3386.08
3/18/2019,3387.94
3/19/2019,3409
3/20/2019,3372.38
3/21/2019,3367.4
3/22/2019,3305.73
3/25/2019,3300.48
3/26/2019,3319.53
3/27/2019,3322.04
3/28/2019,3320.29
3/29/2019,3351.71
4/1/2019,3385.38
4/2/2019,3395.7
4/3/2019,3435.56
4/4/2019,3441.93
4/5/2019,3447.47
4/8/2019,3438.06
4/9/2019,3417.22
4/10/2019,3424.65
4/11/2019,3435.34
4/12/2019,3447.83
4/15/2019,3450.46
4/16/2019,3463.36
4/17/2019,3477.73
4/18/2019,3499.23
4/23/2019,3503.85
4/24/2019,3502.63
4/25/2019,3491.92
4/26/2019,3500.41
4/29/2019,3501.94
4/30/2019,3514.62
5/1/2019,3514.62
5/2/2019,3488.93
5/3/2019,3502.48
5/6/2019,3462.95
5/7/2019,3401.16
5/8/2019,3417.26
5/9/2019,3350.71
5/10/2019,3361.05
5/13/2019,3320.78
5/14/2019,3364.38
5/15/2019,3385.78
5/16/2019,3438.56
5/17/2019,3425.64
5/20/2019,3369.78
5/21/2019,3386.51
5/22/2019,3386.72
5/23/2019,3327.2
5/24/2019,3350.7
5/27/2019,3364.04
5/28/2019,3348.86
5/29/2019,3297.81
5/30/2019,3318.15
5/31/2019,3280.43
6/3/2019,3300.22
6/4/2019,3333.49
6/5/2019,3339.95
6/6/2019,3338.41
6/7/2019,3378.38
6/10/2019,3386.45
6/11/2019,3401.1
6/12/2019,3386.63
6/13/2019,3390.5
6/14/2019,3379.19
6/17/2019,3383.21
6/18/2019,3452.89
6/19/2019,3454.7
6/20/2019,3468.08
6/21/2019,3466.92
6/24/2019,3455.57
6/25/2019,3444.36
6/26/2019,3442.95
6/27/2019,3442.38
6/28/2019,3473.69
7/1/2019,3497.59
7/2/2019,3507.98
7/3/2019,3540.63
7/4/2019,3544.15
7/5/2019,3527.98
7/8/2019,3523.76
7/9/2019,3509.75
7/10/2019,3501.52
7/11/2019,3496.73
7/12/2019,3497.63
7/15/2019,3502.22
7/16/2019,3521.36
7/17/2019,3501.58
7/18/2019,3482.83
7/19/2019,3480.18
7/22/2019,3489.92
7/23/2019,3532.87
7/24/2019,3532.9
7/25/2019,3510.15
7/26/2019,3524.47
7/29/2019,3523.58
7/30/2019,3462.85
7/31/2019,3466.85
8/1/2019,3490.03
8/2/2019,3376.12
8/5/2019,3310.93
8/6/2019,3291.66
8/7/2019,3309.99
8/8/2019,3375.38
8/9/2019,3333.74
8/12/2019,3326.55
8/13/2019,3357.16
8/14/2019,3288.7
8/15/2019,3282.78
8/16/2019,3329.08
8/19/2019,3369.19
8/20/2019,3350.23
8/21/2019,3394.89
8/22/2019,3373.67
8/23/2019,3334.25
8/26/2019,3348.84
8/27/2019,3370.47
8/28/2019,3365.38
8/29/2019,3411.33
8/30/2019,3426.76
9/2/2019,3432.54
9/3/2019,3420.74
9/4/2019,3450.83
9/5/2019,3484.7
9/6/2019,3495.19
9/9/2019,3495.02
9/10/2019,3498.99
9/11/2019,3516.82
9/12/2019,3535.41
